delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,1000,exp,1,8,20,9,160.09793729986995,161.09694799990393,161.09694799990393,161.11369559983723,space,0.5403185002505779,161.7631530898856,162.06310209981166,162.06310209981166,162.06310209981166,162.06310209981166,200,21,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,1000,exp,1,9,21,3,165.1762035000138,166.1753234998323,166.1753234998323,166.1753234998323,space,1.1194606001954526,167.42398548985366,167.72405409999192,167.72405409999192,167.72405409999192,167.72405409999192,250,22,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,1,10,22,5,170.40457019978203,171.40349719999358,171.40349719999358,171.42012839997187,space,0.7935912001412362,172.91891679002438,173.2187302999664,173.2187302999664,173.2187302999664,173.2187302999664,500,23,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,1,11,23,7,175.58274129987694,176.5825398999732,176.5825398999732,176.5825398999732,space,0.35211360012181103,177.3643686899217,,177.6642993998248,177.6642993998248,177.6642993998248,250,24,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,2,0,24,10,179.5790577000007,180.57801850000396,180.57801850000396,180.59469269984402,space,0.7638249001465738,181.76007928999607,182.0598823998589,182.0598823998589,182.0598823998589,182.0598823998589,250,25,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047, 1.8149623998906463]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198, 1.814967199927196]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,2,1,25,11,183.8746899999678,184.8736925998237,184.8736925998237,184.8736925998237,space,1.746310300193727,187.33787169002463,,187.63778899982572,187.63778899982572,187.63778899982572,400,26,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047, 1.8149623998906463, 2.0469055001158267]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198, 1.814967199927196, 2.0469104999210685]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,2,2,26,5,189.68570379982702,190.68469449994154,190.68469449994154,190.68469449994154,space,0.9269998001400381,192.3330767899519,,192.63298080000095,192.63298080000095,192.63298080000095,600,27,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047, 1.8149623998906463, 2.0469055001158267, 3.712335799820721]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198, 1.814967199927196, 2.0469104999210685, 3.7123413998633623]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.7,1000,exp,2,3,27,8,196.3457400999032,197.34481739997864,197.34481739997864,197.34481739997864,space,0.5970316000748426,198.66054398983252,,198.96043389989063,198.96043389989063,198.96043389989063,250,28,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047, 1.8149623998906463, 2.0469055001158267, 3.712335799820721, 1.9981402000412345]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198, 1.814967199927196, 2.0469104999210685, 3.7123413998633623, 1.998145200079307]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.4,1000,exp,2,4,28,7,200.958137499867,201.95761809987016,201.95761809987016,201.95761809987016,space,0.8822278999723494,203.27242628994864,,203.57223149994388,203.57223149994388,203.57223149994388,300,29,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047, 1.8149623998906463, 2.0469055001158267, 3.712335799820721, 1.9981402000412345, 3.063949399860576]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198, 1.814967199927196, 2.0469104999210685, 3.7123413998633623, 1.998145200079307, 3.0639541000127792]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
0.1,1000,exp,2,5,29,3,206.63578579993919,207.63502909988165,207.63502909988165,207.63502909988165,space,0.8817775000352412,208.63461518983823,,208.9337983999867,208.9337983999867,208.9337983999867,120,30,"[5.9602209001313895, 5.694470200221986, 8.424653200199828, 4.594928100006655, 9.723627500003204, 2.8801241000182927, 5.328104899963364, 3.978919600136578, 4.311660299776122, 5.194697899976745, 2.0644702999852598, 2.8799279001541436, 4.595491799991578, 8.407475000014529, 4.645067299949005, 3.9457739000208676, 4.279125300003216, 3.0132221998646855, 3.0631373999640346, 2.197676599957049, 3.1127887000329792, 2.6806015998590738, 2.3637273001950234, 1.914963300107047, 1.8149623998906463, 2.0469055001158267, 3.712335799820721, 1.9981402000412345, 3.063949399860576, 6.477211699821055]","[5.960225699935108, 5.69447880005464, 8.42465820000507, 4.594938900088891, 9.723632899811491, 2.880129999946803, 5.32811119989492, 3.978924500057474, 4.311667199945077, 5.194703500019386, 2.0644753000233322, 2.879933000076562, 4.5954971997998655, 8.407480099936947, 4.645073899999261, 3.945778700057417, 4.27913079992868, 3.013227299787104, 3.063142499886453, 2.1976807999890298, 3.1127939000725746, 2.6806063998956233, 2.363732500001788, 1.9149680000264198, 1.814967199927196, 2.0469104999210685, 3.7123413998633623, 1.998145200079307, 3.0639541000127792, 6.477216799976304]",929845,001,2022-11-04_12h02.21.094,intentional_binding,2022.2.4,60.06247694682845,
